Project,VectorSize,Epochs,Accuracy,F1Score,AUC
activemq,64,50,0.015498870052397251,0.0006315124337561429,
activemq,64,100,0.11204391717910767,0.013860014267265797,
activemq,64,150,0.49822407960891724,0.00730816088616848,
activemq,128,50,0.06102680042386055,0.04838709533214569,
activemq,128,100,0.20019373297691345,0.04614220932126045,
activemq,128,150,0.04552793130278587,0.055063292384147644,
activemq,256,50,0.1197933480143547,nan,
activemq,256,100,0.4791733920574188,0.051575932651758194,
activemq,256,150,0.8650306463241577,0.03418803587555885,
alluxio,64,50,0.0341637022793293,nan,
alluxio,64,100,0.2768683135509491,0.034327007830142975,
alluxio,64,150,0.39217081665992737,0.061181433498859406,
alluxio,128,50,0.13807828724384308,0.00929512083530426,
alluxio,128,100,0.5914590954780579,0.08169440180063248,
alluxio,128,150,0.7800711989402771,0.12332440167665482,
alluxio,256,50,0.4967971444129944,0.08739076554775238,
alluxio,256,100,0.7750889658927917,0.13299231231212616,
alluxio,256,150,0.8918149471282959,0.3076923191547394,
binnavi,64,50,0.008747697807848454,nan,
binnavi,64,100,0.10957642644643784,0.12560385465621948,
binnavi,64,150,0.1477900594472885,0.1105990782380104,
binnavi,128,50,0.07734806835651398,0.12265758216381073,
binnavi,128,100,0.2845304012298584,0.15919874608516693,
activemq,128,50,0.0019373587565496564,nan,
binnavi,128,150,0.15101289749145508,0.13174748420715332,
binnavi,256,50,0.10405156761407852,0.12576419115066528,
activemq,256,50,0.0006457862327806652,nan,
activemq,256,100,0.02357119880616665,0.0006371455965563655,
binnavi,256,100,0.6256905794143677,0.27580225467681885,
activemq,256,150,0.09137875586748123,0.0006832934450358152,
alluxio,64,150,0.033451955765485764,0.03701165318489075,
alluxio,256,50,0.18078291416168213,0.014646054245531559,
binnavi,256,150,0.7532228231430054,0.36670413613319397,
kafka,64,50,0.019338421523571014,0.0009920635493472219,
binnavi,64,50,0.0,nan,
binnavi,64,100,0.0027624310459941626,nan,
kafka,64,100,0.07480916380882263,0.009429020807147026,
binnavi,64,150,0.0032228361815214157,nan,
kafka,64,150,0.494656503200531,0.04604051634669304,
kafka,128,50,0.11094147711992264,0.011943538673222065,
binnavi,128,100,0.0,nan,
kafka,128,100,0.0030534351244568825,nan,
binnavi,128,150,0.03176795691251755,0.000869187293574214,
kafka,128,150,0.7857506275177002,0.1459566056728363,
kafka,256,50,0.19033078849315643,0.025851940736174583,
binnavi,256,50,0.10865561664104462,0.12959720194339752,
binnavi,256,100,0.05939226597547531,0.00089325598673895,
kafka,256,100,0.8244274854660034,0.2149122804403305,
kafka,256,150,0.13435114920139313,0.0022333890665322542,
realm-java,64,50,0.044534411281347275,nan,
realm-java,64,100,0.17206478118896484,0.11451943963766098,
realm-java,64,150,0.5121457576751709,0.19254659116268158,
realm-java,128,50,0.37449392676353455,0.14432990550994873,
realm-java,128,100,0.5627530217170715,0.1619718223810196,
realm-java,128,150,0.7449392676353455,0.30150753259658813,
realm-java,256,50,0.5121457576751709,0.17721518874168396,
realm-java,256,100,0.7510121464729309,0.31313130259513855,
kafka,128,50,0.09516539424657822,0.025369979441165924,
kafka,128,100,0.06513994932174683,0.015495866537094116,
kafka,128,150,0.03256997466087341,0.004012036602944136,
kafka,256,50,0.41119593381881714,0.041800644248723984,
kafka,256,100,0.8376590609550476,0.22377623617649078,
kafka,256,150,0.89618319272995,0.3322683870792389,
realm-java,64,50,0.04048582911491394,nan,
realm-java,64,100,0.14574898779392242,0.11530815064907074,
realm-java,64,150,0.11133603006601334,0.10424710810184479,
realm-java,128,50,0.23481781780719757,0.09734512865543365,
realm-java,128,100,0.47165992856025696,0.17543859779834747,
realm-java,128,150,0.0020242915488779545,nan,
realm-java,256,50,0.42105263471603394,0.15555554628372192,
realm-java,256,100,0.7429149746894836,0.3054186999797821,
realm-java,256,150,0.7125505805015564,0.26484018564224243,
